Group,Type,UniqueTag,AllTags,Config,Description,Describe,TestCategory
Agent,Sqlinstance,DatabaseMailEnabled,"DatabaseMailEnabled, CIS, security, Agent",app.sqlinstance policy.security.DatabaseMailEnabled ,Tests that the Database Mail XPs configuration setting is set as specified (default false),Database Mail XPs,DBA
Agent,Sqlinstance,AgentServiceAccount,"AgentServiceAccount, ServiceAccount, Agent",app.sqlinstance ,Tests that the SQL Agent Account is running and set to automatic,SQL Agent Account,Basic
Agent,Sqlinstance,DbaOperator,"DbaOperator, Operator, Agent",app.sqlinstance agent.dbaoperatorname agent.dbaoperatoremail ,Tests that the specified (default blank) DBA Operators exist and have the correct email address,DBA Operators,DBA
Agent,Sqlinstance,FailsafeOperator,"FailsafeOperator, Operator, Agent",app.sqlinstance agent.failsafeoperator ,Tests that the specified (default blank) Failsafe Operator exists,Failsafe Operator,DBA
Agent,Sqlinstance,DatabaseMailProfile,"DatabaseMailProfile, Agent",app.sqlinstance  agent.databasemailprofile ,Tests that the specified (default blank) Database Mail Profile exists,Database Mail Profile,DBA
Agent,Sqlinstance,AgentMailProfile,"AgentMailProfile, Agent",app.sqlinstance  agent.databasemailprofile ,Tests to see if the SQL Server Agent Alert System has an enabled database mail profile.,Agent Mail Profile,DBA
Agent,Sqlinstance,FailedJob,"FailedJob, Agent",app.sqlinstance agent.failedjob.since agent.failedjob.excludecancelled ,Tests that enabled Agent Jobs last outcome was succeeded since specified start date (default 30 days ago) and can exclude cancelled jobs (default false),Failed Jobs,Advanced
Agent,Sqlinstance,ValidJobOwner,"ValidJobOwner, Agent",app.sqlinstance agent.validjobowner.name ,Tests that all Agent Jobs have a Job Owner in the list specified (default sa),Valid Job Owner,DBA
Agent,Sqlinstance,AgentAlert,"AgentAlert, Agent",app.sqlinstance agent.alert.Severity agent.alert.messageid agent.alert.Job agent.alert.Notification skip.agent.alert ,Tests that there are Agent Alerts set up for the specified (default 16-25) alert severities and ids (default 823-825) and if specified Agent Jobs and/or notifications,Agent Alerts,DBA
Agent,Sqlinstance,JobHistory,"JobHistory, Agent",app.sqlinstance agent.history.maximumhistoryrows agent.history.maximumjobhistoryrows ,Tests that the job history configuration for max number of rows in the whole agent log is greater than or equal to the specified value (default 1000) and that the max number of rows per job configuration is greater than or equal to the specified value (default 100) .,Job History Configuration,DBA
Agent,Sqlinstance,LongRunningJob,"LongRunningJob, Agent",app.sqlinstance skip.agent.longrunningjobs agent.longrunningjob.percentage ,Tests that any currently running agent jobs have not been running for longer than the configured percentage (default 50) of time more than the average job run,Long Running Agent Jobs,Advanced
Agent,Sqlinstance,LastJobRunTime,"LastJobRunTime, Agent",app.sqlinstance skip.agent.lastjobruntime agent.lastjobruntime.percentage agent.failedjob.since ,Tests that the last duration of the agent jobs were not longer than the configured percentage (default 50) of time more than the average job run,Last Agent Job Run,Advanced
Database,Sqlinstance,DatabaseCollation,"DatabaseCollation, High, Database",app.sqlinstance policy.database.wrongcollation ,Tests that the Database Collation matches the instance collation except for specified databases,Database Collation,DBA
Database,Sqlinstance,SuspectPage,"SuspectPage, High, Database",app.sqlinstance ,Tests that there are 0 Suspect Pages for the database,Suspect Page,DBA
Database,Sqlinstance,TestLastBackup,"TestLastBackup, Backup, Database",app.sqlinstance skip.backup.testing policy.backup.testserver policy.backup.datadir policy.backup.logdir ,Restores the last backup of a database onto a specified (default blank so will use the same instance) restore instance and checks if the DBCC result was successful as well as the DBCC result. This can obviously take some time for large databases!,Last Backup Restore Test,Advanced
Database,Sqlinstance,TestLastBackupVerifyOnly,"TestLastBackupVerifyOnly, Backup, Database",app.sqlinstance policy.backup.newdbgraceperiod ,Does a verify only restore of the last backup of the database and test the result,Last Backup VerifyOnly,Advanced
Database,Sqlinstance,ValidDatabaseOwner,"ValidDatabaseOwner, Medium, Database",app.sqlinstance policy.validdbowner.name policy.validdbowner.excludedb ,Tests that the database owner is in the specified (default blank) list,Valid Database Owner,Advanced
Database,Sqlinstance,InvalidDatabaseOwner,"InvalidDatabaseOwner, Medium, Database",app.sqlinstance policy.invaliddbowner.name policy.invaliddbowner.excludedb ,Tests that the Database Owner is NOT in the specified (default blank) list,Invalid Database Owner,Advanced
Database,Sqlinstance,LastGoodCheckDb,"LastGoodCheckDb, Varied, Database",app.sqlinstance policy.dbcc.maxdays skip.dbcc.datapuritycheck policy.backup.newdbgraceperiod ,Tests that there was a Last Good DBCC CHECKDB within the specified limit (default blank) and if specified that the DATA_PURITY flag is set,Last Good DBCC CHECKDB,Advanced
Database,Sqlinstance,IdentityUsage,"IdentityUsage, Medium, Database",app.sqlinstance policy.identity.usagepercent ,Tests that identity columns values are not above the specified percentage (default blank) of the maximum value for that data type,Column Identity Usage,Advanced
Database,Sqlinstance,RecoveryModel,"RecoveryModel, DISA, Medium, Database",app.sqlinstance policy.recoverymodel.type policy.recoverymodel.excludedb ,Tests that the Recovery model for all of the databases is set as specified (default blank) except for any specified,Recovery Model,Advanced
Database,Sqlinstance,DuplicateIndex,"DuplicateIndex, Database",app.sqlinstance policy.database.duplicateindexexcludedb ,Tests for any duplicate indexes,Duplicate Index,DBA
Database,Sqlinstance,UnusedIndex,"UnusedIndex, Medium, Database",app.sqlinstance ,Tests for any unused indexes,Unused Index,DBA
Database,Sqlinstance,DisabledIndex,"DisabledIndex, Medium, Database",app.sqlinstance ,Tests for any disabled indexes,Disabled Index,DBA
Database,Sqlinstance,DatabaseGrowthEvent,"DatabaseGrowthEvent, Low, Database",app.sqlinstance policy.database.filegrowthexcludedb policy.database.filegrowthdaystocheck ,Tests for any database growth events in the default system trace,Database Growth Event,Advanced
Database,Sqlinstance,PageVerify,"PageVerify, Medium, Database",app.sqlinstance policy.pageverify ,Tests the page verify settings,Page Verify,DBA
Database,Sqlinstance,AutoClose,"AutoClose, High, Database",app.sqlinstance policy.database.autoclose ,Tests the auto-close setting,Auto Close,Advanced
Database,Sqlinstance,AutoShrink,"AutoShrink, High, Database",app.sqlinstance policy.database.autoshrink ,Tests the Auto Shrink setting,Auto Shrink,Advanced
Database,Sqlinstance,LastFullBackup,"LastFullBackup, LastBackup, Backup, DISA, Varied, Database",app.sqlinstance policy.backup.fullmaxdays policy.backup.newdbgraceperiod skip.backup.readonly skip.backup.secondaries ,Tests if the last full backup of a database is less than the specified number of days (default 7) except for offline databases and read-only databases (read-only if specified) and databases created recently (if specified),Last Full Backup Times,Advanced
Database,Sqlinstance,LastDiffBackup,"LastDiffBackup, LastBackup, Backup, DISA, Varied, Database",app.sqlinstance skip.diffbackuptest policy.backup.diffmaxhours policy.backup.newdbgraceperiod skip.backup.readonly skip.backup.secondaries ,Tests if the last diff backup of a database is less than the specified number of hours (default 24) except for offline databases and read-only databases (read-only if specified) and databases created recently (if specified),Last Diff Backup Times,Advanced
Database,Sqlinstance,LastLogBackup,"LastLogBackup, LastBackup, Backup, DISA, Varied, Database",app.sqlinstance policy.backup.logmaxminutes policy.backup.newdbgraceperiod skip.backup.readonly skip.backup.secondaries ,"Tests if the last log backup of a database is less than the specified number of minutes (default 30) except for simple databases, offline databases and read-only databases (read-only if specified) and databases created recently (if specified)",Last Log Backup Times,Advanced
Database,Sqlinstance,LogfilePercentUsed,"LogfilePercentUsed, Medium, Database",app.sqlinstance policy.database.logfilepercentused ,Tests that the database percent log file used is less than the specified percentage (default 75),Log File percent used,Advanced
Database,Sqlinstance,VirtualLogFile,"VirtualLogFile, Medium, Database",app.sqlinstance policy.database.maxvlf ,Tests the number of the Virtual Log Files are less than the specified number,Virtual Log Files,DBA
Database,Sqlinstance,LogfileCount,"LogfileCount, Medium, Database",app.sqlinstance skip.database.logfilecounttest policy.database.logfilecount ,Tests that the number of log files are less than the specified amount (default is 1) in all databases except those specified to be skipped by default,Log File Count Checks,DBA
Database,Sqlinstance,LogfileSize,"LogfileSize, Medium, Database",app.sqlinstance policy.database.logfilesizepercentage policy.database.logfilesizecomparison ,Tests that the database log files are less than the specified percentage of the specified comparison (maximum size or average - default is average) of the data file size (default 100),Log File Size Checks,DBA
Database,Sqlinstance,FutureFileGrowth,"FutureFileGrowth, Low, Database",app.sqlinstance policy.database.filegrowthfreespacethreshold policy.database.filegrowthexcludedb skip.database.filegrowthdisabled ,Tests if a database (except for those specified to be skipped explicitly) has free space less than the specified percentage (default 20),Future File Growth,Advanced
Database,Sqlinstance,FileGroupBalanced,"FileGroupBalanced, Medium, Database",app.sqlinstance policy.database.filebalancetolerance ,Tests that all of the files within each filegroup are sized within the specified percentage (default 5) of the average,Correctly sized Filegroup members,Advanced
Database,Sqlinstance,CertificateExpiration,"CertificateExpiration, High, Database",app.sqlinstance policy.certificateexpiration.warningwindow policy.certificateexpiration.excludedb ,Tests that all certificates have not expired and are not due to expire within the specified (default 1) number of months,Certificate Expiration,Advanced
Database,Sqlinstance,AutoCreateStatistics,"AutoCreateStatistics, Low, Database",app.sqlinstance policy.database.autocreatestatistics ,Tests the Auto Create Statistics property on each database is set to the specified (default false) value,Auto Create Statistics,DBA
Database,Sqlinstance,AutoUpdateStatistics,"AutoUpdateStatistics, Low, Database",app.sqlinstance policy.database.autoupdatestatistics ,Tests the Auto Update Statistics property on each database is set to the specified (default true) value,Auto Update Statistics,DBA
Database,Sqlinstance,AutoUpdateStatisticsAsynchronously,"AutoUpdateStatisticsAsynchronously, Low, Database",app.sqlinstance policy.database.autoupdatestatisticsasynchronously ,Tests the Auto Update Statistics Asynchronously property on each database is set to the specified (default false) value,Auto Update Statistics Asynchronously,DBA
Database,Sqlinstance,DatafileAutoGrowthType,"DatafileAutoGrowthType, Low, Database",app.sqlinstance policy.database.filegrowthtype policy.database.filegrowthvalue policy.database.filegrowthexcludedb skip.database.filegrowthdisabled ,"Tests that the Datafile Auto Growth type and value on each database except those specified is set to the specified (default type = kb, value = 65535) values",Datafile Auto Growth Configuration,DBA
Database,Sqlinstance,Trustworthy,"Trustworthy, DISA, Varied, CIS, Database",app.sqlinstance policy.database.trustworthyexcludedb ,Tests that the Trustworthy Option for each database is set to false,Trustworthy Option,DBA
Database,Sqlinstance,OrphanedUser,"OrphanedUser, CIS, Medium, Database",app.sqlinstance ,Tests that each database has 0 orphaned users,Database Orphaned User,DBA
Database,Sqlinstance,PseudoSimple,"PseudoSimple, Medium, Database",app.sqlinstance ,Tests that databases are not in PseudoSimple Recovery Model,PseudoSimple Recovery Model,DBA
Database,Sqlinstance,CompatibilityLevel,"CompatibilityLevel, High, Database",app.sqlinstance ,tests that the servers compatibility level matches the compatibility level,Compatibility Level,Advanced
Database,Sqlinstance,FKCKTrusted,"FKCKTrusted, Low, Database",app.sqlinstance ,Tests that each foreign key and each constraint is trusted,Foreign keys and check constraints not trusted,DBA
Database,Sqlinstance,MaxDopDatabase,"MaxDopDatabase, MaxDop, Low, Database",app.sqlinstance policy.database.maxdop policy.database.maxdopexcludedb ,Tests that the database level MaxDop settings for all databases on all instances from version 2016 up are set to the specified value (default 0),Database MaxDop,DBA
Database,Sqlinstance,DatabaseStatus,"DatabaseStatus, High, Database",app.sqlinstance policy.database.status.excludereadonly policy.database.status.excludeoffline policy.database.status.excluderestoring ,"Tests that there are no databases on an instance that are in a state of AutoClose, Offline, ReadOnly, Restoring, Recovery, Recovery Pending, EmergencyMode, Suspect or StandBy. Databases that are in ReadOnly,Offline and Restoring mode can be specified (default none)",Database Status,Advanced
Database,Sqlinstance,DatabaseExists,"DatabaseExists, Database",app.sqlinstance database.exists ,Tests that the databases are specified are on the instance (Note - Does not check if they are available - Use DatabaseStatus for that)),Database Exists,Advanced
Database,Sqlinstance,ContainedDBAutoClose,"ContainedDBAutoClose, CIS, Database",app.sqlinstance skip.security.containedbautoclose ,Tests that each contained database has AUTO CLOSE disabled.,Contained Database Auto Close,Advanced
Database,Sqlinstance,CLRAssembliesSafe,"CLRAssembliesSafe, CIS, Database",app.sqlinstance skip.security.clrassembliessafe policy.database.clrassembliessafeexcludedb ,Tests that CLR assembly permissions are set to SAFE_ACCESS.,CLR Assemblies SAFE_ACCESS,DBA
Database,Sqlinstance,GuestUserConnect,"GuestUserConnect, Security, CIS, Medium, Database",app.sqlinstance skip.security.guestuserconnect ,Tests that guest user does not have CONNECT permission.,Guest User,Advanced
Database,Sqlinstance,AsymmetricKeySize,"AsymmetricKeySize, CIS, Database",app.sqlinstance skip.security.asymmetrickeysize ,Tests that Asymmetric Key Sizes are at least 2048 in non-system databases.,AsymmetricKeySize,DBA
Database,Sqlinstance,SymmetricKeyEncryptionLevel,"SymmetricKeyEncryptionLevel, CIS, Database",app.sqlinstance skip.security.symmetrickeyencryptionlevel ,Tests that Symmetric Key Encryption Level is at least AES_128 in non-system databases.,SymmetricKeyEncryptionLevel,DBA
Database,Sqlinstance,ContainedDBSQLAuth,"ContainedDBSQLAuth, CIS, Database",app.sqlinstance skip.security.ContainedDBSQLAuth ,Tests to see a contained database contains sql authenticated users.,Contained Database SQL Authenticated Users,DBA
Database,Sqlinstance,QueryStoreEnabled,"QueryStoreEnabled, Medium, Database",app.sqlinstance database.querystoreenabled.excludedb skip.security.querystoreenabled ,Tests to see Query Store is enabled on each database except those specified.,Query Store Enabled,DBA
Database,Sqlinstance,QueryStoreDisabled,"QueryStoreDisabled, Medium, Database",app.sqlinstance database.querystoredisabled.excludedb skip.security.querystoredisabled ,Tests to see Query Store is disabled on each database except those specified.,Query Store Disabled,DBA
Domain,ComputerName,DomainName,"DomainName, Domain",app.computername domain.name ,Uses WMI Win32_ComputerSystem to check that the host machine is on the correct domain,Active Directory Domain Name,Basic
Domain,ComputerName,OrganizationalUnit,"OrganizationalUnit, Domain",app.computername domain.domaincontroller domain.organizationalunit ,Currently skipped - Active Directory OU,Active Directory OU,Basic
HADR,ClusterNode,ClusterHealth,"ClusterHealth, HADR",app.sqlinstance app.cluster skip.cluster.netclusterinterface skip.hadr.listener.pingcheck skip.hadr.listener.tcpport skip.hadr.replica.tcpport domain.name policy.hadr.agtcpport policy.hadr.tcpport policy.hadr.endpointname policy.hadr.endpointport policy.hadr.sessiontimeout policy.hadr.failureconditionlevel policy.hadr.healthchecktimeout policy.hadr.leasetimeout policy.cluster.NetworkProtocolsIPV4 policy.cluster.hostrecordttl policy.cluster.registerallprovidersIP ,"Runs a suite of tests against an Availability Group on a Windows cluster to ensure that everything is as it should be. Tests cluster resources are online, cluster nodes are up, at least one IP Address for the AG listener is available, that each replica and listener are pingable (listener ping check can be skipped), can be connected to via T-SQL, have the correct domain name and TCP port, that each replica is synchronized/ing, is connected, is not in an unknown state, each database is synchronized/ing, failover ready and joined to the domain and that the Always On Health Extended Event sessions are running and set to auto-start",Cluster $clustername Health using Node $clustervm,Basic
Instance,Sqlinstance,InstanceConnection,"InstanceConnection, Connectivity, High, Instance",app.sqlinstance skip.connection.remoting skip.connection.ping skip.connection.auth policy.connection.authscheme ,"Tests that a SQL query can be run, that the specified authentication scheme (default kerberos) is being used, that the host responds to one ping and that the host supports PS Remoting",Instance Connection,Basic
Instance,Sqlinstance,SqlEngineServiceAccount,"SqlEngineServiceAccount, ServiceAccount, High, Instance",app.sqlinstance policy.instance.sqlenginestart policy.instance.sqlenginestate ,Tests that the SQL Engine Service state is set to the configured value (default - Running) and that the start mode is set to the configured value (default - Automatic) unless it is a cluster in which case it checks that the start mode is set to Manual,SQL Engine Service,Basic
Instance,Sqlinstance,TempDbConfiguration,"TempDbConfiguration, Medium, Instance",app.sqlinstance skip.TempDb1118 skip.tempdbfileCount skip.TempDbFileGrowthPercent skip.TempDbFilesonC skip.TempDbFileSizeMax ,"Tests that the TempDB Configuration is correct, that TF118 is enabled, there are the recommended number of files, autogrowth is not set to percent, that the files can grow and that they are not located on the C drive (each of these tests can be configured individually to be skipped",TempDB Configuration,DBA
Instance,Sqlinstance,AdHocWorkload,"AdHocWorkload, Medium, Instance",app.sqlinstance ,Tests that the AAd Hoc Workload Optimization is enabled,Ad Hoc Workload Optimization,DBA
Instance,Sqlinstance,BackupPathAccess,"BackupPathAccess, Storage, DISA, Medium, Instance",app.sqlinstance policy.storage.backuppath ,Tests that the SQL Service account has access to the default backup path or the specified folder path,Backup Path Access,Basic
Instance,Sqlinstance,DefaultFilePath,"DefaultFilePath, Instance",app.sqlinstance ,Tests that the default file path for an instance is not the C drive,Default File Path,Basic
Instance,Sqlinstance,DAC,"DAC, CIS, Low, Instance",app.sqlinstance policy.dacallowed ,Tests that the Dedicated Administrator Connection configuration setting matches the specified value (default true),Dedicated Administrator Connection,Advanced
Instance,Sqlinstance,NetworkLatency,"NetworkLatency, Connectivity, Medium, Instance",app.sqlinstance policy.network.latencymaxms ,Tests that the Network Latency is less than the specified (default 40) ms,Network Latency,Advanced
